domain,total_domain_protein_count,groups,group_count,average_domain_protein_count_per_group,mean_coverage,std_coverage
"Large ribosomal subunit protein uL11, C-terminal",2,61; 205,2,1.0,0.06798245614035087,0.02170941872063961
"Large ribosomal subunit protein uL11, C-terminal domain superfamily",2,61; 205,2,1.0,0.06798245614035087,0.02170941872063961
"Large ribosomal subunit protein uL11, N-terminal",2,61; 205,2,1.0,0.06798245614035087,0.02170941872063961
"Large ribosomal subunit protein uL11, N-terminal domain superfamily",2,61; 205,2,1.0,0.06798245614035087,0.02170941872063961
"Large ribosomal subunit protein uL11, bacterial-type",1,61,1,1.0,0.08333333333333333,0.0
"Large ribosomal subunit protein uL11, conserved site",1,205,1,1.0,0.05263157894736842,0.0
Large ribosomal subunit protein uL13,2,58; 234,2,1.0,0.0436698717948718,0.047027133684682254
Large ribosomal subunit protein uL13 superfamily,2,58; 234,2,1.0,0.0436698717948718,0.047027133684682254
"Large ribosomal subunit protein uL13, bacterial-type",1,234,1,1.0,0.010416666666666666,0.0
"Large ribosomal subunit protein uL13, conserved site",2,58; 234,2,1.0,0.0436698717948718,0.047027133684682254
"Large ribosomal subunit protein uL13, eukaryotic/archaeal",1,58,1,1.0,0.07692307692307693,0.0
Large ribosomal subunit protein uL14,4,98; 151; 152; 226,4,1.0,0.15306058320764204,0.23178949229793117
Large ribosomal subunit protein uL14 superfamily,4,98; 151; 152; 226,4,1.0,0.15306058320764204,0.23178949229793117
"Large ribosomal subunit protein uL14, conserved site",1,98,1,1.0,0.027777777777777776,0.0
Large ribosomal subunit protein uL15,5,10; 22; 98; 234; 237,5,1.0,0.13149853801169592,0.20714446162858569
"Large ribosomal subunit protein uL15, bacterial-type",1,10,1,1.0,0.06666666666666667,0.0
"Large ribosomal subunit protein uL15, conserved site",4,22; 98; 234; 237,4,1.0,0.14770650584795322,0.23550042286300563
Large ribosomal subunit protein uL15/eL18,10,3; 4; 10; 22; 27; 98; 149; 150; 234; 237,10,1.0,0.16325576251234147,0.20008376719869028
Large ribosomal subunit protein uL15/eL18 superfamily,10,3; 4; 10; 22; 27; 98; 149; 150; 234; 237,10,1.0,0.16325576251234147,0.20008376719869028
Large ribosomal subunit protein uL16,2,75; 142,2,1.0,0.06666666666666667,0.06285393610547088
Large ribosomal subunit protein uL16 domain,2,75; 142,2,1.0,0.06666666666666667,0.06285393610547088
Large ribosomal subunit protein uL16 superfamily,2,75; 142,2,1.0,0.06666666666666667,0.06285393610547088
"Large ribosomal subunit protein uL16, bacterial-type",1,142,1,1.0,0.1111111111111111,0.0
"Large ribosomal subunit protein uL16, conserved site, eukaryotes/archaea",1,75,1,1.0,0.022222222222222223,0.0
"Large ribosomal subunit protein uL16, eukaryotes/archaea",1,75,1,1.0,0.022222222222222223,0.0
Large ribosomal subunit protein uL18,1,234,1,1.0,0.010416666666666666,0.0
Large ribosomal subunit protein uL18 eukaryotic/archaeal,1,234,1,1.0,0.010416666666666666,0.0
"Large ribosomal subunit protein uL18, C-terminal, eukaryotes",1,234,1,1.0,0.010416666666666666,0.0
Large ribosomal subunit protein uL2,3,108; 193; 234,3,1.0,0.042361111111111106,0.028892561198214893
"Large ribosomal subunit protein uL2, C-terminal",3,108; 193; 234,3,1.0,0.042361111111111106,0.028892561198214893
"Large ribosomal subunit protein uL2, RNA-binding domain",3,108; 193; 234,3,1.0,0.042361111111111106,0.028892561198214893
"Large ribosomal subunit protein uL2, archaeal-type",2,108; 193,2,1.0,0.058333333333333334,0.01178511301977579
"Large ribosomal subunit protein uL2, conserved site",2,108; 193,2,1.0,0.058333333333333334,0.01178511301977579
"Large ribosomal subunit protein uL2, domain 2",12,27; 31; 48; 96; 107; 108; 149; 150; 193; 234,10,1.2,0.10638297335877982,0.1418205290941866
"Large ribosomal subunit protein uL2, domain 3",2,108; 193,2,1.0,0.058333333333333334,0.01178511301977579
Large ribosomal subunit protein uL22,2,3; 234,2,1.0,0.025208333333333333,0.020918575610102033
"Large ribosomal subunit protein uL22, bacterial/organelle-type",1,234,1,1.0,0.010416666666666666,0.0
"Large ribosomal subunit protein uL22, conserved site",1,3,1,1.0,0.04,0.0
"Large ribosomal subunit protein uL22, eukaryotic/archaeal",1,3,1,1.0,0.04,0.0
Large ribosomal subunit protein uL23,1,108,1,1.0,0.06666666666666667,0.0
"Large ribosomal subunit protein uL23, N-terminal",1,108,1,1.0,0.06666666666666667,0.0
"Large ribosomal subunit protein uL23, conserved site",1,108,1,1.0,0.06666666666666667,0.0
Large ribosomal subunit protein uL23-like,3,69; 108; 234,3,1.0,0.0349537037037037,0.028803403612607692
Large ribosomal subunit protein uL24,1,234,1,1.0,0.010416666666666666,0.0
"Large ribosomal subunit protein uL24, KOW domain",3,48; 149; 234,3,1.0,0.024325920495275336,0.012085364961187365
"Large ribosomal subunit protein uL24, conserved site",3,48; 149; 234,3,1.0,0.024325920495275336,0.012085364961187365
"Large ribosomal subunit protein uL24, eukaryotic/archaeal",2,48; 149,2,1.0,0.03128054740957967,0.001382417949533816
Large ribosomal subunit protein uL29,1,27,1,1.0,0.07142857142857142,0.0
Large ribosomal subunit protein uL29 superfamily,1,27,1,1.0,0.07142857142857142,0.0
"Large ribosomal subunit protein uL29, conserved site",1,27,1,1.0,0.07142857142857142,0.0
"Large ribosomal subunit protein uL29, eukaryotes",1,27,1,1.0,0.07142857142857142,0.0
"Large ribosomal subunit protein uL29m, mitochondrial",1,216,1,1.0,0.06666666666666667,0.0
Large ribosomal subunit protein uL3,2,3; 149,2,1.0,0.035151515151515156,0.006856793029687736
"Large ribosomal subunit protein uL3, archaeal/eukaryotic-type",1,3,1,1.0,0.04,0.0
"Large ribosomal subunit protein uL3, bacterial/organelle-type",1,149,1,1.0,0.030303030303030304,0.0
"Large ribosomal subunit protein uL3, conserved site",2,3; 149,2,1.0,0.035151515151515156,0.006856793029687736
Large ribosomal subunit protein uL30,2,3; 123,2,1.0,0.04941176470588235,0.013310245292923248
"Large ribosomal subunit protein uL30, N-terminal, eukaryotes",2,3; 123,2,1.0,0.04941176470588235,0.013310245292923248
"Large ribosomal subunit protein uL30, conserved site",2,3; 123,2,1.0,0.04941176470588235,0.013310245292923248
"Large ribosomal subunit protein uL30, eukaryotic",2,3; 123,2,1.0,0.04941176470588235,0.013310245292923248
"Large ribosomal subunit protein uL30, eukaryotic/archaeal",2,3; 123,2,1.0,0.04941176470588235,0.013310245292923248
"Large ribosomal subunit protein uL30, ferredoxin-like fold domain superfamily",2,3; 123,2,1.0,0.04941176470588235,0.013310245292923248
"Large ribosomal subunit protein uL30-like, ferredoxin-like fold domain",2,3; 123,2,1.0,0.04941176470588235,0.013310245292923248
Large ribosomal subunit protein uL4,4,3; 234; 235,3,1.3333333333333333,0.0678968253968254,0.06562108786885096
Large ribosomal subunit protein uL4 domain superfamily,4,3; 234; 235,3,1.3333333333333333,0.0678968253968254,0.06562108786885096
"Large ribosomal subunit protein uL4, C-terminal domain",3,3; 234; 235,3,1.0,0.06442460317460318,0.06951647907919135
"Large ribosomal subunit protein uL4, eukaryotic and archaeal type",3,3; 234; 235,3,1.0,0.06442460317460318,0.06951647907919135
"Large ribosomal subunit protein uL4, eukaryotic/archaeal, conserved site",3,3; 234; 235,3,1.0,0.06442460317460318,0.06951647907919135
Large ribosomal subunit protein uL4-like,1,234,1,1.0,0.010416666666666666,0.0
Large ribosomal subunit protein uL5,1,108,1,1.0,0.06666666666666667,0.0
Large ribosomal subunit protein uL5 domain superfamily,1,108,1,1.0,0.06666666666666667,0.0
"Large ribosomal subunit protein uL5, C-terminal",1,108,1,1.0,0.06666666666666667,0.0
"Large ribosomal subunit protein uL5, N-terminal",1,108,1,1.0,0.06666666666666667,0.0
"Large ribosomal subunit protein uL5, conserved site",1,108,1,1.0,0.06666666666666667,0.0
"Large ribosomal subunit protein uL6, N-terminal",3,27; 149; 150,3,1.0,0.20057720057720055,0.26012177368274386
"Large ribosomal subunit protein uL6, alpha-beta domain",2,90; 120,2,1.0,0.10964912280701754,0.08063498381951857
"Large ribosomal subunit protein uL6, conserved site-2",2,90; 120,2,1.0,0.10964912280701754,0.08063498381951857
Large ribosomal subunit protein uL6-like,2,90; 120,2,1.0,0.10964912280701754,0.08063498381951857
"Large ribosomal subunit protein uL6-like, alpha-beta domain superfamily",2,90; 120,2,1.0,0.10964912280701754,0.08063498381951857
Las1,1,149,1,1.0,0.030303030303030304,0.0
"Lasp1, SH3 domain",1,99,1,1.0,0.045454545454545456,0.0
Legume-like lectin,2,10; 136,2,1.0,0.05057471264367816,0.022757459624394634
"Lens epithelium-derived growth factor, integrase-binding domain",4,75; 164; 197; 198,4,1.0,0.15405982905982907,0.23102800200742885
"LepA, C-terminal domain superfamily",1,105,1,1.0,0.0625,0.0
Leu/Phe/Val dehydrogenases active site,1,144,1,1.0,0.06666666666666667,0.0
Leucine rich repeat 4,1,151,1,1.0,0.058823529411764705,0.0
"Leucine zipper, homeobox-associated",1,165,1,1.0,0.2,0.0
Leucine-rich PPR motif-containing protein,1,106,1,1.0,0.2,0.0
Leucine-rich repeat,15,1; 14; 50; 68; 88; 113; 132; 137; 149; 151; 155; 194; 205; 206,14,1.0714285714285714,0.09282810639898212,0.07453850242674914
Leucine-rich repeat N-terminal domain,1,68,1,1.0,0.06666666666666667,0.0
Leucine-rich repeat domain superfamily,16,1; 14; 16; 50; 68; 88; 113; 132; 137; 149; 151; 155; 194; 205; 206,15,1.0666666666666667,0.08930623263904997,0.07311077865437247
Leucine-rich repeat flightless-interacting protein 1/2,1,151,1,1.0,0.058823529411764705,0.0
"Leucine-rich repeat, typical subtype",9,68; 88; 132; 137; 151; 155; 194; 205; 206,9,1.0,0.0944229729678646,0.09052116832696067
"Leucyl-tRNA synthetase, class Ia, archaeal/eukaryotic cytosolic",1,128,1,1.0,0.125,0.0
Leukocyte surface antigen CD47,1,13,1,1.0,0.029411764705882353,0.0
"Leukocyte surface antigen CD47, IgV",1,13,1,1.0,0.029411764705882353,0.0
LexA/Signal peptidase-like superfamily,1,125,1,1.0,0.06666666666666667,0.0
"Like-Sm (LSM) domain containing protein, LSm4/SmD1/SmD3",2,71; 232,2,1.0,0.08881578947368421,0.0511722012700791
Link domain,2,10; 107,2,1.0,0.05185185185185185,0.020951312035156964
Linker histone H1/H5,8,3; 4; 5; 27; 88; 90; 234,7,1.1428571428571428,0.1651659712467983,0.18301021728370837
"Linker histone H1/H5, domain H15",13,3; 4; 5; 27; 88; 90; 232; 233; 234; 235,10,1.3,0.19744356082513975,0.18050365067782523
Lipase maturation factor,1,75,1,1.0,0.022222222222222223,0.0
"Lipase, GDXG, putative serine active site",1,48,1,1.0,0.03225806451612903,0.0
"Lipase, eukaryotic",1,159,1,1.0,0.25,0.0
Lipocalin family conserved site,2,13; 91,2,1.0,0.03393665158371041,0.006399156390828484
Lipocalin/cytosolic fatty-acid binding domain,1,206,1,1.0,0.06666666666666667,0.0
"Liprin-beta, SAM domain repeat 1",1,46,1,1.0,0.05263157894736842,0.0
"Liprin-beta, SAM domain repeat 2",1,46,1,1.0,0.05263157894736842,0.0
"Liprin-beta, SAM domain repeat 3",1,46,1,1.0,0.05263157894736842,0.0
Lon protease,1,210,1,1.0,0.058823529411764705,0.0
"Lon protease homologue, chloroplastic/mitochondrial",1,210,1,1.0,0.058823529411764705,0.0
"Lon protease, N-terminal domain",1,210,1,1.0,0.058823529411764705,0.0
"Lon protease, N-terminal domain superfamily",1,210,1,1.0,0.058823529411764705,0.0
"Lon protease, bacterial/eukaryotic-type",1,210,1,1.0,0.058823529411764705,0.0
"Long-chain fatty acid CoA synthetase, eukaryotic",1,97,1,1.0,0.034482758620689655,0.0
Longin domain,2,111; 134,2,1.0,0.07323232323232323,0.0249987245874032
Longin-like domain superfamily,8,1; 64; 111; 134; 142; 149; 157; 234,8,1.0,0.0708303491851286,0.042929594457586026
Low-density lipoprotein (LDL) receptor class A repeat,5,33; 71; 134; 216; 226,5,1.0,0.09716967243283033,0.088637924091865
"Low-density lipoprotein (LDL) receptor class A, conserved site",5,33; 71; 134; 216; 226,5,1.0,0.09716967243283033,0.088637924091865
"Lsm14-like, N-terminal",1,209,1,1.0,0.07692307692307693,0.0
LsmAD domain,1,220,1,1.0,0.04,0.0
Lupus La protein,2,99; 149,2,1.0,0.03787878787878788,0.010713739108887085
Ly-6 antigen/uPA receptor-like,1,202,1,1.0,0.043478260869565216,0.0
"Lysine-tRNA ligase, class II",1,197,1,1.0,0.038461538461538464,0.0
"Lysine-tRNA ligase, class II, N-terminal",1,197,1,1.0,0.038461538461538464,0.0
Lysophosphatidylcholine acyltransferase LPCAT1-like,8,44; 71; 77; 136; 145; 149; 180; 181,8,1.0,0.10651744876166383,0.1594843460576768
"Lysophospholipase patatin, conserved site",1,136,1,1.0,0.034482758620689655,0.0
"Lysosomal alpha-mannosidase-like, central domain",1,69,1,1.0,0.027777777777777776,0.0
Lysosome membrane protein II,1,85,1,1.0,0.043478260869565216,0.0
Lysosome-associated membrane glycoprotein,1,175,1,1.0,0.5,0.0
"Lysosome-associated membrane glycoprotein 2-like, luminal domains",1,175,1,1.0,0.5,0.0
"Lysosome-associated membrane glycoprotein 2-like, transmembrane domain",1,175,1,1.0,0.5,0.0
"Lysosome-associated membrane glycoprotein, conserved site",1,175,1,1.0,0.5,0.0
Lysyl oxidase,2,54; 191,2,1.0,0.1893939393939394,0.20356104306885459
"Lysyl oxidase, conserved site",2,54; 191,2,1.0,0.1893939393939394,0.20356104306885459
"Lysyl-tRNA synthetase, class II, C-terminal",1,197,1,1.0,0.038461538461538464,0.0
M28 Zn-Peptidase Glutaminyl Cyclase,1,220,1,1.0,0.04,0.0
"MAD homology 1, Dwarfin-type",1,67,1,1.0,0.0625,0.0
MAGE homology domain,1,95,1,1.0,0.03225806451612903,0.0
"MAGE homology domain, winged helix WH1 motif",1,95,1,1.0,0.03225806451612903,0.0
"MAGE homology domain, winged helix WH2 motif",1,95,1,1.0,0.03225806451612903,0.0
MAM domain,2,138; 234,2,1.0,0.036458333333333336,0.03682847818679935
"MAN1, RNA recognition motif",1,57,1,1.0,0.08333333333333333,0.0
"MAN1, winged-helix domain",5,47; 57; 95; 99; 201,5,1.0,0.04779360424521715,0.021306379216092946
MAP2/Tau projection,1,201,1,1.0,0.030303030303030304,0.0
MCM OB domain,1,201,1,1.0,0.030303030303030304,0.0
MCM domain,1,201,1,1.0,0.030303030303030304,0.0
"MCM, AAA-lid domain",1,201,1,1.0,0.030303030303030304,0.0
"MCM, N-terminal domain",1,201,1,1.0,0.030303030303030304,0.0
MCU family,1,68,1,1.0,0.06666666666666667,0.0
MD-2-related lipid-recognition domain,1,7,1,1.0,0.07692307692307693,0.0
"MEF-2, RNA recognition motif 1",2,157; 234,2,1.0,0.03854166666666667,0.0397747564417433
"MEF-2, RNA recognition motif 3",2,157; 234,2,1.0,0.03854166666666667,0.0397747564417433
MENTAL domain,1,136,1,1.0,0.034482758620689655,0.0
MFS transporter superfamily,11,46; 57; 69; 84; 93; 131; 136; 139; 146; 164; 228,11,1.0,0.0682855080994827,0.03928449261247757
"MHC class I alpha chain, alpha1 alpha2 domains",4,113; 160; 226; 228,4,1.0,0.07961829836829837,0.041262537605359695
"MHC class I, alpha chain, C-terminal",3,160; 226; 228,3,1.0,0.0644910644910645,0.0343641715423403
MHC class I-like antigen recognition-like,4,113; 160; 226; 228,4,1.0,0.07961829836829837,0.041262537605359695
MHC class I-like antigen recognition-like superfamily,4,113; 160; 226; 228,4,1.0,0.07961829836829837,0.041262537605359695
MHC classes I/II-like antigen recognition protein,4,113; 160; 226; 228,4,1.0,0.07961829836829837,0.041262537605359695
"MIA2, SH3 domain",1,67,1,1.0,0.0625,0.0
MICOS complex subunit MIC19/MIC25,1,13,1,1.0,0.029411764705882353,0.0
MICOS complex subunit MIC26/MIC27,3,91; 111; 220,3,1.0,0.04467236467236468,0.009456458048672779
"MICOS complex subunit MIC26/MIC27, animal",3,91; 111; 220,3,1.0,0.04467236467236468,0.009456458048672779
MICOS complex subunit MIC60,1,146,1,1.0,0.03571428571428571,0.0
"MIF4G-like, type 3",2,44; 220,2,1.0,0.051250000000000004,0.015909902576697322
MIR motif,3,47; 50; 226,3,1.0,0.04525335775335775,0.018543013889450472
MIRO domain,2,147; 177,2,1.0,0.11904761904761904,0.06734350297014738
MPN domain,5,7; 54; 105; 183; 234,5,1.0,0.052392191142191145,0.026066110139807867
MRG,3,90; 127; 170,3,1.0,0.1175438596491228,0.07523432155225111
MRG domain,3,90; 127; 170,3,1.0,0.1175438596491228,0.07523432155225111
"MRG, C-terminal domain superfamily",3,90; 127; 170,3,1.0,0.1175438596491228,0.07523432155225111
MRH domain,6,48; 127; 138; 143; 201; 207,6,1.0,0.07349503095470837,0.038328714383838176
"MRP-L47 superfamily, mitochondrial",1,216,1,1.0,0.06666666666666667,0.0
MTH938-like superfamily,1,76,1,1.0,0.05263157894736842,0.0
Macoilin,1,146,1,1.0,0.03571428571428571,0.0
Macro domain,1,85,1,1.0,0.043478260869565216,0.0
Macro domain-like,1,85,1,1.0,0.043478260869565216,0.0
Macroglobulin domain,1,220,1,1.0,0.04,0.0
Macroglobulin domain MG3,1,220,1,1.0,0.04,0.0
Magnesium transporter NIPA,1,153,1,1.0,0.08333333333333333,0.0
Major facilitator superfamily,8,46; 57; 84; 93; 131; 136; 146; 164,8,1.0,0.07386052235473742,0.04359969171558567
Major facilitator superfamily domain,9,46; 57; 84; 93; 131; 136; 146; 164; 228,9,1.0,0.07420080619566402,0.040796551518650546
"Major facilitator, sugar transporter-like",2,164; 228,2,1.0,0.06623931623931624,0.015109119256122815
Major sperm protein (MSP) domain,2,63; 103,2,1.0,0.13392857142857142,0.012626906806902628
Major vault protein,1,173,1,1.0,0.2,0.0
Major vault protein repeat domain,1,173,1,1.0,0.2,0.0
Major vault protein repeat domain 2,1,173,1,1.0,0.2,0.0
Major vault protein repeat domain 2 superfamily,1,173,1,1.0,0.2,0.0
Major vault protein repeat domain 3,1,173,1,1.0,0.2,0.0
Major vault protein repeat domain 4,1,173,1,1.0,0.2,0.0
Major vault protein repeat domain superfamily,1,173,1,1.0,0.2,0.0
"Major vault protein, N-terminal",1,173,1,1.0,0.2,0.0
"Major vault protein, shoulder domain",1,173,1,1.0,0.2,0.0
"Malate dehydrogenase, active site",2,125; 213,2,1.0,0.07179487179487179,0.007252377242938957
"Malate dehydrogenase, type 1",2,125; 213,2,1.0,0.07179487179487179,0.007252377242938957
Malectin,1,187,1,1.0,0.5,0.0
Malectin domain,1,187,1,1.0,0.5,0.0
"Malonyl-CoA ACP transacylase, ACP-binding",1,220,1,1.0,0.04,0.0
"Man1/Src1-like, C-terminal",5,47; 57; 95; 99; 201,5,1.0,0.04779360424521715,0.021306379216092946
Mannose-6-phosphate receptor binding domain superfamily,6,48; 127; 138; 143; 201; 207,6,1.0,0.07349503095470837,0.038328714383838176
Mannose-P-dolichol utilization defect 1 protein,1,125,1,1.0,0.06666666666666667,0.0
Mannosyltransferase ALG2,1,137,1,1.0,0.08333333333333333,0.0
MaoC-like dehydratase domain,3,25; 39; 155,3,1.0,0.15222222222222223,0.10574252447091226
"MarR-like, BRCT and chromo domains module",2,193,1,2.0,0.1,0.0
Marvel domain,3,12; 13; 213,3,1.0,0.06108597285067874,0.027430668898149643
"Matrin-3, RNA recognition motif 1",1,160,1,1.0,0.09090909090909091,0.0
"Matrin-3, RNA recognition motif 2",1,160,1,1.0,0.09090909090909091,0.0
"Matrin/U1-C, C2H2-type zinc finger",3,11; 107; 160,3,1.0,0.07042648709315376,0.029163154098949873
"Matrin/U1-C-like, C2H2-type zinc finger",3,107; 160; 183,3,1.0,0.06487093153759821,0.026980882965327444
Matrix remodeling-associated protein 8,1,101,1,1.0,0.125,0.0
Matrix-remodeling-associated protein 7,2,149; 170,2,1.0,0.11515151515151516,0.11999387801953534
"Mcm6, C-terminal winged-helix domain",1,201,1,1.0,0.030303030303030304,0.0
"Mediator complex subunit 16, C-terminal",1,147,1,1.0,0.07142857142857142,0.0
"Mediator complex, subunit Med16",1,147,1,1.0,0.07142857142857142,0.0
"Mediator complex, subunit Med16, N-terminal",1,147,1,1.0,0.07142857142857142,0.0
"Mediator of RNA polymerase II transcription subunit 16 , central helical bridge",1,147,1,1.0,0.07142857142857142,0.0
Medium-chain specific acyl-CoA dehydrogenase,1,114,1,1.0,0.07142857142857142,0.0
Melanoma-associated antigen,1,95,1,1.0,0.03225806451612903,0.0
"Melanophilin, FYVE-related domain",2,117; 151,2,1.0,0.0748663101604278,0.022687918112937352
Membrane associated eicosanoid/glutathione metabolism-like domain superfamily,2,125; 197,2,1.0,0.052564102564102565,0.01994403741808211
"Membrane bound O-acyl transferase, MBOAT",4,57; 125; 153; 201,4,1.0,0.0659090909090909,0.025003825847447606
Membrane insertase YidC/ALB3/OXA1/COX18,2,76; 93,2,1.0,0.05756578947368421,0.006978027445919879
"Membrane insertase YidC/Oxa/ALB, C-terminal",2,76; 93,2,1.0,0.05756578947368421,0.006978027445919879
"Membrane-associated, eicosanoid/glutathione metabolism (MAPEG) protein",2,125; 197,2,1.0,0.052564102564102565,0.01994403741808211
Metal-dependent hydrolase,2,54; 66,2,1.0,0.07272727272727272,0.038569460791993505
"Metal-dependent hydrolase, composite domain superfamily",2,54; 66,2,1.0,0.07272727272727272,0.038569460791993505
Metallo-beta-lactamase,3,73; 223; 226,3,1.0,0.09036519036519038,0.09546196889126002
Metallo-dependent phosphatase-like,6,48; 54; 142; 157; 167; 205,6,1.0,0.08468699444930344,0.06266671016568712
"Metalloenzyme, LuxS/M16 peptidase-like",3,112; 129; 228,3,1.0,0.08624708624708625,0.008074828939715046
"Metallopeptidase, catalytic domain superfamily",6,77; 91; 105; 127; 148; 149,6,1.0,0.05613668738668739,0.024422396749529705
"Metalloprotease catalytic domain superfamily, predicted",1,119,1,1.0,0.07692307692307693,0.0
"Metaxin, glutathione S-transferase domain",2,56; 149,2,1.0,0.08658008658008658,0.0795877762374469
"Methionine--tRNA ligase, N-terminal",2,46; 93,2,1.0,0.05756578947368421,0.006978027445919879
"Methionine-tRNA ligase, type 1",2,46; 93,2,1.0,0.05756578947368421,0.006978027445919879
Methioninyl-tRNA synthetase core domain,2,46; 93,2,1.0,0.05756578947368421,0.006978027445919879
Methionyl-tRNA synthetase,2,46; 93,2,1.0,0.05756578947368421,0.006978027445919879
"Methionyl-tRNA synthetase, Zn-domain",2,46; 93,2,1.0,0.05756578947368421,0.006978027445919879
"Methionyl-tRNA synthetase, anticodon-binding domain",2,46; 93,2,1.0,0.05756578947368421,0.006978027445919879
Methionyl/Leucyl tRNA synthetase,2,46; 93,2,1.0,0.05756578947368421,0.006978027445919879
"Methionyl/Valyl/Leucyl/Isoleucyl-tRNA synthetase, anticodon-binding",5,105; 128; 130; 147; 226,5,1.0,0.07229853479853479,0.035610820355227495
Methyl-CpG DNA binding,2,13; 65,2,1.0,0.04102167182662539,0.016418888108046766
Methyl-CpG binding protein MeCP2,2,13; 65,2,1.0,0.04102167182662539,0.016418888108046766
Methyl-CpG binding protein MeCP2/MBD4,2,13; 65,2,1.0,0.04102167182662539,0.016418888108046766
Methylcrotonoyl-CoA carboxylase beta chain MCCB/AccD1-like,1,216,1,1.0,0.06666666666666667,0.0
Methylglyoxal synthase-like domain,1,54,1,1.0,0.045454545454545456,0.0
Methylglyoxal synthase-like domain superfamily,1,54,1,1.0,0.045454545454545456,0.0
Methylpurine-DNA glycosylase,1,108,1,1.0,0.06666666666666667,0.0
Methylpurine-DNA glycosylase superfamily,1,108,1,1.0,0.06666666666666667,0.0
Methylthiotransferase,1,13,1,1.0,0.029411764705882353,0.0
"Methylthiotransferase, N-terminal",1,13,1,1.0,0.029411764705882353,0.0
"Methylthiotransferase, N-terminal domain superfamily",1,13,1,1.0,0.029411764705882353,0.0
"Methylthiotransferase, conserved site",1,13,1,1.0,0.029411764705882353,0.0
Methyltransferase domain 25,1,210,1,1.0,0.058823529411764705,0.0
Methyltransferase type 11,1,148,1,1.0,0.05,0.0
Methyltransferase type 12,1,220,1,1.0,0.04,0.0
Mff-like domain,1,75,1,1.0,0.022222222222222223,0.0
Mff/Tango-11,1,75,1,1.0,0.022222222222222223,0.0
"MiaB-like tRNA modifying enzyme, archaea/eukaryota",1,13,1,1.0,0.029411764705882353,0.0
"Micro-fibrillar-associated protein 1, C-terminal",1,60,1,1.0,0.08333333333333333,0.0
Microfibrillar-associated protein 1,1,60,1,1.0,0.08333333333333333,0.0
Microsomal glutathione S-transferase 1-like,1,197,1,1.0,0.038461538461538464,0.0
Microtubule associated protein 1,2,104; 234,2,1.0,0.0436698717948718,0.047027133684682254
Microtubule associated protein MAP2/MAP4/Tau,2,90; 201,2,1.0,0.04146730462519936,0.015788668160465175
"Microtubule associated protein, tubulin-binding repeat",2,90; 201,2,1.0,0.04146730462519936,0.015788668160465175
Microtubule-associated protein 7 family,2,10; 76,2,1.0,0.05964912280701754,0.009924305700863827
Midasin,1,36,1,1.0,0.5,0.0
Midasin AAA lid domain 5,1,36,1,1.0,0.5,0.0
"Midasin, AAA lid domain 7",1,36,1,1.0,0.5,0.0
"Midasin, lid domain 4",1,36,1,1.0,0.5,0.0
Mini-chromosome maintenance protein,1,201,1,1.0,0.030303030303030304,0.0
"Mini-chromosome maintenance, conserved site",1,201,1,1.0,0.030303030303030304,0.0
Mir domain superfamily,3,47; 50; 226,3,1.0,0.04525335775335775,0.018543013889450472
"MitoNEET, CDGSH iron-sulfur domain",2,79; 163,2,1.0,0.11923076923076924,0.11422494157628846
Mitochondria fission 1 protein,2,77; 82,2,1.0,0.06623931623931624,0.015109119256122815
"Mitochondria fission protein Fis1, cytosolic domain",2,77; 82,2,1.0,0.06623931623931624,0.015109119256122815
Mitochondrial 28S ribosomal protein S31,1,15,1,1.0,0.06666666666666667,0.0
"Mitochondrial ABC-transporter, N-terminal five TM domain",1,108,1,1.0,0.06666666666666667,0.0
"Mitochondrial ATP synthase subunit g, animal",1,98,1,1.0,0.027777777777777776,0.0
"Mitochondrial F1-F0 ATP synthase subunit F, predicted",1,197,1,1.0,0.038461538461538464,0.0
Mitochondrial Rho GTPase,2,147; 177,2,1.0,0.11904761904761904,0.06734350297014738
"Mitochondrial Rho GTPase 1/3, EF hand associated, type-1",2,147; 177,2,1.0,0.11904761904761904,0.06734350297014738
"Mitochondrial apoptosis-inducing factor, C-terminal domain",1,136,1,1.0,0.034482758620689655,0.0
Mitochondrial carrier domain superfamily,23,12; 23; 56; 66; 72; 75; 77; 85; 93; 96; 98; 112; 113; 117; 118; 139; 146; 201,18,1.2777777777777777,0.10586023946531192,0.10320606295368218
Mitochondrial carrier protein,18,12; 23; 56; 66; 72; 77; 85; 96; 98; 112; 113; 118; 139; 146; 201,15,1.2,0.11145147927756624,0.11201029950673194
Mitochondrial carrier protein Mtm1-like,1,77,1,1.0,0.05555555555555555,0.0
Mitochondrial cytochrome c oxidase subunit VIc/VIIs,1,146,1,1.0,0.03571428571428571,0.0
Mitochondrial cytochrome c oxidase subunit VIc/VIIs superfamily,1,146,1,1.0,0.03571428571428571,0.0
Mitochondrial fission regulator 1,2,82; 214,2,1.0,0.13846153846153847,0.0870285269152674
Mitochondrial glycoprotein,1,71,1,1.0,0.05263157894736842,0.0
Mitochondrial glycoprotein superfamily,1,71,1,1.0,0.05263157894736842,0.0
Mitochondrial import inner membrane translocase subunit Tim16,1,11,1,1.0,0.08333333333333333,0.0
Mitochondrial import inner membrane translocase subunit Tim21,1,59,1,1.0,0.16666666666666666,0.0
Mitochondrial import inner membrane translocase subunit Tim44,3,82; 98; 132,3,1.0,0.05870980870980871,0.02692842923087748
Mitochondrial import receptor subunit Tom22,1,22,1,1.0,0.05263157894736842,0.0
